DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2,4.727272727,2780685.764,1380260.11,10310.9673,9303.05391,1130.839651,9.117974677,8.226678203,0.037456252,0.037456252,2,4.727272727
2.727272727,5.545454545,2785957.882,1378998.607,10346.72954,9322.942085,1134.76653,9.11793683,8.215735872,0.037203755,0.037203755,2.727272727,5.545454545
2.272727273,5.272727273,2784810.703,1379303.279,10338.09708,9322.905791,1133.824836,9.117896126,8.222527411,0.037347154,0.037347154,2.272727273,5.272727273
3.181818182,3.727272727,2768605.459,1382910.721,10235.938,9214.942308,1122.628277,9.117833761,8.208364691,0.037181161,0.037181161,3.181818182,3.727272727
2.454545455,4.181818182,2774587.127,1381610.333,10272.74401,9260.656112,1126.66502,9.117833455,8.21952927,0.03735859,0.03735859,2.454545455,4.181818182
2.545454545,5.454545455,2785681.299,1379084.428,10344.31298,9323.848342,1134.516365,9.117817336,8.218346274,0.037259857,0.037259857,2.545454545,5.454545455
2.181818182,4.454545455,2777773.547,1380912.035,10292.52146,9283.222225,1128.83655,9.117813783,8.223708049,0.037420193,0.037420193,2.181818182,4.454545455
2.181818182,5.181818182,2784273.099,1379438.371,10334.27986,9321.000554,1133.41736,9.117806223,8.22380253,0.037378184,0.037378184,2.181818182,5.181818182
2.181818182,4.363636364,2776962.214,1381097.375,10287.27424,9278.473041,1128.262975,9.117798311,8.223679452,0.037425477,0.037425477,2.181818182,4.363636364
2.818181818,3.909090909,2771186.518,1382354.773,10251.6757,9235.373492,1124.35901,9.117795658,8.213900906,0.037272031,0.037272031,2.818181818,3.909090909
2.636363636,4,2772481.515,1382075.803,10259.57224,9245.62329,1125.225448,9.117792587,8.216685208,0.037317828,0.037317828,2.636363636,4
2,5.090909091,2783975.153,1379524.575,10331.8384,9321.912558,1133.151816,9.117788326,8.226534543,0.037435242,0.037435242,2,5.090909091
2,5,2783168.402,1379708.632,10326.62538,9317.192751,1132.583596,9.117759969,8.226494522,0.037440499,0.037440499,2,5
2.090909091,4.545454545,2778850.356,1380679.483,10299.11751,9290.742698,1129.56791,9.117749732,8.225041286,0.037440859,0.037440859,2.090909091,4.545454545
2,4.909090909,2782361.889,1379892.937,10321.40634,9312.46705,1132.015159,9.117728021,8.226450832,0.037445764,0.037445764,2,4.909090909
2.818181818,5.636363636,2786553.411,1378866.86,10350.49532,9324.769864,1135.206353,9.117721452,8.214162861,0.037173304,0.037173304,2.818181818,5.636363636
